Cocktail,London Dry Gin,Plymouth Gin,Old Tom Gin,Sloe Gin,Orange Gin,White Rum,Gold Rum,Jamaica / Carribean Rum,Rye Whisky,Canadian Club Whisky,Scotch Whisky,Irish Whisky,Corn Whiskey,Vodka,"""Eau de Vie de Danzig"" (Goldwasser)",Kina* Lillet / Blanc,Oranges,Tangerines,Apple Cider,Sparkling Cider,Grapefruit,Angostura Bitters,Orange Bitters,Peach Bitters,Absinthe Bitters,Peppermint Liqueur,Gooseberry Syrup,Prune Syrup,Red-Currant Juice / Syrup,Pineapple Fruit / Juice / Syrup,Sugar / Simple Syrup,Gomme Syrup,Honey,Groseille Syrup,Rock Candy Syrup*,Absinthe,Dry (French) Vermouth,Sweet (Italian) Vermouth,Amer Picon,Byrrh ,Fernet,Club Soda / Seltzer,Lemon Soda,Ginger Ale,Ginger Beer,Kola Tonic,Grape Juice,Olives,Pickled Pearl Onion,Sherry,Rose's Lime Cordial,Sirop De Citron,Lemon,Lime,Egg,Chocolate,Mint,Almonds,Vanilla Extract,Grated Nutmeg,Cinnamon,Pickled Walnut,Red Pepper Flakes,Cloves,Vinegar,Worcestershire Sauce,Tabasco,Ketchup,Salt,Black Pepper,Juniper Berries,Apricots,Apricot Jam,Peach Preserves,Grapefruit Jelly,Marmalade,Cherries,Raspberries,Strawberries,Cayenne Pepper,Plum (Prunelle) Brandy,Blackberry Brandy,Cherry Brandy,Apricot Brandy / Abricotine / Pricota*,Peach Brandy,Raspberry Brandy,Ginger Brandy,Apple Brandy / Applejack,Cognac,Calvados,Curaçao ,Triple Sec / Cointreau,Grand Marnier,Yellow Chartreuse,Green Chartreuse,Kirsch,Jenever (Hollands),Maraschino Liqueur,Creme de Cacao,Cream,Milk,Creme de Menthe,Creme de Violette,Creme de Cassis,Creme De Noyau(x) / Amaretto,Creme De Cacao,Raspberry / Framboise Syrup,Parfait Amour*,Ginger Liqueur ,Forbidden Fruit (Grapefruit) Liqueur,Orgeat,Champagne,White Wine,Port Wine (red),Port Wine (White),White Wine,Quinquina*,Guinness / Stout,Light Beer,Coffee,Kümmel,Grenadine,Maple Syrup,Campari,Dubonnet,Pimento Dram Liquor,Benedictine,Caperitif,Anisette / Anis Del Oso*,Swedish Punsch,Food Coloring*,Jamaica Ginger*,Creme Yvette*,Hercules*,Lithia Water*,Orange Flower Water*,"Orange ""Ice"" (Sorbet)*",Vanilla Ice Cream,Swizzle Stick*,Oxygenee Cusenier*,East Indian Punch*,Charbreux*
The Abbey ,x,,,,,,,,,,,,,,,x,x,,,,,x,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Absinthe Cocktail,,,,,,,,,,,,,,,,,,,,,,x,,,,,,,,,x,,,,,x,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Absinthe (Special),x,,,,,,,,,,,,,,,,,,,,,x,x,,,,,,,,,x,,,,x,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Absinthe Drip,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,x,,,,,x,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Addington,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,x,x,,,,x,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Adonis,,,,,,,,,,,,,,,,,,,,,,,x,,,,,,,,,,,,,,,x,,,,,,,,,,,,x,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Affinity,,,,,,,,,,,x,,,,,,,,,,,x,,,,,,,,,,,,,,,x,x,,,,,,,,,,,,,,,x,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"""After Dinner Cocktail""",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,x,,,,,,,,,,,,,,,,,,,,,,,,,,,,x,,x,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
After Dinner (Special) ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,x,,,,,,,x,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"""After Supper Cocktail""",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,x,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,x,,,,,,,x,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
